dezena,freq_hist,mms_20,ar_score,score_final
10,0.6227,0.8,0.6158,0.69154
19,0.5946,0.8,0.5972,0.67753
23,0.5858,0.8,0.5771,0.66889
16,0.5686,0.8,0.5655,0.66022
6,0.583,0.75,0.5794,0.64872
24,0.6071,0.7,0.6028,0.64295
20,0.6274,0.65,0.6291,0.63695
8,0.5805,0.7,0.5824,0.62887
5,0.6033,0.65,0.6091,0.62373
2,0.6008,0.65,0.6044,0.62156
7,0.5902,0.65,0.613,0.62095
9,0.5999,0.65,0.5954,0.61859
25,0.6196,0.6,0.6234,0.6129
15,0.5939,0.6,0.5986,0.59776
17,0.5902,0.6,0.5878,0.59339
1,0.6021,0.55,0.6203,0.5867
11,0.6111,0.55,0.6095,0.58619
13,0.6093,0.55,0.6088,0.58542
4,0.6036,0.55,0.614,0.5853
14,0.6074,0.55,0.6092,0.58496
12,0.6039,0.55,0.6058,0.58294
18,0.5986,0.45,0.5935,0.53764
21,0.5949,0.35,0.5784,0.49198
3,0.6046,0.3,0.5986,0.48093
22,0.5971,0.2,0.6149,0.44359
